_id,Source,Source_ID,Location,Artist,Title,Medium,ArtForm,Status,ImageName,ImageURL,ThumbURL,ImageAltText,WARD,WARD_FULLNAME,YEAR_INSTALLED,Description,OwnedBy,CommissionedBy,PublicArtConsultant,ImageOrientation,ExternalLink,ExternalLinkText,geometry
22,Public Art & Monuments Collection - City-Owned,557,"King Street West and Crawford Street, Massey Harris Park","McCleod, James",Evolution Unrolling,stainless steel,Installation,Existing,evolutionunrolling.jpg,https://www.toronto.ca/ext/pln/publicart/evolutionunrolling.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/evolutionunrolling.jpg,None,10,Spadina-Fort York,2006,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.413254, 43.641463]]}"
23,Public Art & Monuments Collection - City-Owned,591,339 Queens Quay Boulevard W,"VanderGaast, Yolanda",Fallen Fire Fighters Memorial,"bronze, masonry",Sculpture,Existing,firefighters.jpg,https://www.toronto.ca/ext/pln/publicart/firefighters.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/firefighters.jpg,None,10,Spadina-Fort York,2000,None,None,None,None,landscape,https://www.toronto.ca/city-government/awards-tributes/tributes/toronto-fire-memorial-wall/,External link,"{'type': 'MultiPoint', 'coordinates': [[-79.388366, 43.63757]]}"
24,Public Art & Monuments Collection - City-Owned,528,Scarborough Civic Centre,"Drava, Uga",Fibonacci Cadenza,granite,Sculpture,Existing,fibonnacicadenza.jpg,https://www.toronto.ca/ext/pln/publicart/fibonnacicadenza.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/fibonnacicadenza.jpg,None,21,Scarborough Centre,1994,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.2578, 43.7716]]}"
25,Public Art & Monuments Collection - City-Owned,568,"Fire Station #33, Ward Island","Peteran, Gordon",Fire and Water,"bronze, gold leaf",Sculpture,Existing,fireandwater.jpg,https://www.toronto.ca/ext/pln/publicart/fireandwater.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/fireandwater.jpg,None,10,Spadina-Fort York,1995,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.35911, 43.625451]]}"
26,Public Art & Monuments Collection - City-Owned,645,Berczy Park,"Besant, Derek",Flatiron Building,epoxy paints on aluminum panels,Painting,Existing,flatiron.jpg,https://www.toronto.ca/ext/pln/publicart/flatiron.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/flatiron.jpg,None,13,Toronto Centre,1980,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37451, 43.648313]]}"
27,Public Art & Monuments Collection - City-Owned,648,Eglinton Avenue and Vesta Drive,Page and Steele Architects,Forest Hill War Memorial,masonry,Sculpture,Existing,foresthillwar.jpg,https://www.toronto.ca/ext/pln/publicart/foresthillwar.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/foresthillwar.jpg,None,8,Eglinton-Lawrence,1980,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.420873, 43.701975]]}"
28,Public Art & Monuments Collection - City-Owned,509,Spadina Avenue and College Street,"Burrows, Tom",Fowl Play,aluminum,Sculpture,Existing,fowlplay.jpg,https://www.toronto.ca/ext/pln/publicart/fowlplay.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/fowlplay.jpg,None,11,University-Rosedale,1997,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.399747, 43.657203]]}"
29,Public Art & Monuments Collection - City-Owned,526,Bloor Street at West Toronto Rail Path,"Dickson, John",Frontier,galvanized steel,Sculpture,Existing,frontier2.jpg,https://www.toronto.ca/ext/pln/publicart/frontier2.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/frontier2.jpg,None,5,York South-Weston,2009,None,None,None,None,portrait,https://www.railpath.ca/art,External link,"{'type': 'MultiPoint', 'coordinates': [[-79.463305, 43.66843]]}"
30,Public Art & Monuments Collection - City-Owned,644,Canadian National Exhibition Grounds,"Bradley Cox, Elford",Garden of the Greek Gods,masonry,Sculpture,Existing,gardenofgods.jpg,https://www.toronto.ca/ext/pln/publicart/gardenofgods.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/gardenofgods.jpg,None,10,Spadina-Fort York,1979,None,None,None,None,landscape,https://www.explace.on.ca/about/history/garden-of-the-greek-gods,External link,"{'type': 'MultiPoint', 'coordinates': [[-79.423431, 43.630952]]}"
31,Public Art & Monuments Collection - City-Owned,561,Lake Shore Boulevard and Coxwell Avenue,"McKinnon, John",Gardiner East Dismantling,NA,Sculpture,Existing,gardiner1.jpg,https://www.toronto.ca/ext/pln/publicart/gardiner1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/gardiner1.jpg,None,19,Beaches - East York,2003,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.314836, 43.66232]]}"
32,Public Art & Monuments Collection - City-Owned,695,Garrison Road and Strachan Avenue,Unknown,Garrison Cemetery Memorial Wall,masonry,Sculpture,Existing,garrison_cemetery.jpg,https://www.toronto.ca/ext/pln/publicart/garrison_cemetery.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/garrison_cemetery.jpg,None,10,Spadina-Fort York,1970,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.409, 43.638214]]}"
33,Public Art & Monuments Collection - City-Owned,505,5100 Yonge Street,"Baird, Lynda / Baird, Ron",Gateway Marker,"stainless steel, painted steel",Sculpture,Existing,gateway_marker.jpg,https://www.toronto.ca/ext/pln/publicart/gateway_marker.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/gateway_marker.jpg,None,18,Willowdale,1995,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.41476, 43.767327]]}"
34,Public Art & Monuments Collection - City-Owned,511,Spadina Avenue and Dundas Street,"Chen, Millie / Quigley, Warren",Gateways,coloured fiberglass,Sculpture,Existing,gateway.jpg,https://www.toronto.ca/ext/pln/publicart/gateway.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/gateway.jpg,None,11,University-Rosedale,1997,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.39815, 43.652908]]}"
35,Public Art & Monuments Collection - City-Owned,525,St. Mary Street and  Bay Street,Dora de Pedery-Hunt,George Faludy Place,"limestone, bronze",Sculpture,Existing,georgefaludy.jpg,https://www.toronto.ca/ext/pln/publicart/georgefaludy.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/georgefaludy.jpg,None,13,Toronto Centre,2006,"George Faludy Place is located across the street from 25 St. Mary's St. where Mr. Faludy, one of Hungary's greatest poets, lived for much of his 22 years of self-imposed exile from Hungary.  George Faludy Place is an initiative of the Toronto Legacy Project, which  honors notable artists, scientists and thinkers who have enriched the life of Toronto, by embedding their names in the fabric of the city.",None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.388501, 43.66743]]}"
36,Public Art & Monuments Collection - City-Owned,589,"Durant Avenue, Roosevelt Avenue and Memorial Park Avenue, Memorial Park",Unknown,Greek Monument,granite,Sculpture,Existing,greekmonument.jpg,https://www.toronto.ca/ext/pln/publicart/greekmonument.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/greekmonument.jpg,None,14,Toronto-Danforth,2000,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.330031, 43.691795]]}"
37,Public Art & Monuments Collection - City-Owned,576,"St. Clair Avenue West , Walmer Road Parkette","Reynolds, J.M.",Gwendolyn MacEwen Memorial,"bronze, granite",Sculpture,Existing,gwendolynmacewan.jpg,https://www.toronto.ca/ext/pln/publicart/gwendolynmacewan.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/gwendolynmacewan.jpg,None,12,Toronto-St. Paul's,2006,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.410739, 43.679011]]}"
38,Public Art & Monuments Collection - City-Owned,699,Scarborough Civic Centre,"Milles, Carl",The Hand of God,bronze,Sculpture,Existing,handofgod.jpg,https://www.toronto.ca/ext/pln/publicart/handofgod.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/handofgod.jpg,None,21,Scarborough Centre,1975,None,None,None,None,portrait,https://www.toronto.ca/city-government/planning-development/planning-studies-initiatives/scarborough-centre-public-art-master-plan/,External website,"{'type': 'MultiPoint', 'coordinates': [[-79.2579, 43.7714]]}"
39,Public Art & Monuments Collection - City-Owned,652,"276 St. Clair Avenue East, Loring-Wyle Parkette","Wyle, Florence",The Harvester,"bronze, masonry",Sculpture,Existing,harvester.jpg,https://www.toronto.ca/ext/pln/publicart/harvester.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/harvester.jpg,None,11,University-Rosedale,1984,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.383218, 43.690685]]}"
40,Public Art & Monuments Collection - City-Owned,570,"4169 Bathurst Street, Earl Bales Park","Raab, Ernest",Holocaust Memorial,bronze,Sculpture,Existing,holocaust_memorial.jpg,https://www.toronto.ca/ext/pln/publicart/holocaust_memorial.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/holocaust_memorial.jpg,None,6,York Centre,1991,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.431803, 43.752614]]}"
41,Public Art & Monuments Collection - City-Owned,532,"Humber River, Lake Ontario","Environmental Artworks Studio (Golden, Brad / Eichenberg, Lynne)",Humber River Bridge,"mixed metal, masonry",Infrastructure,Existing,humberbridge.jpg,https://www.toronto.ca/ext/pln/publicart/humberbridge.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/humberbridge.jpg,None,4,Parkdale-High Park,1997,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.471195, 43.632141]]}"
42,Public Art & Monuments Collection - City-Owned,507,"Jarvis Street and King Street East, St. James Park","Boyer, Gilbert",I Looked for Sarah Everywhere,"masonry, steel",Installation,Existing,ilookedforsarah.jpg,https://www.toronto.ca/ext/pln/publicart/ilookedforsarah.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/ilookedforsarah.jpg,None,13,Toronto Centre,2001,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.373324, 43.651276]]}"
43,Public Art & Monuments Collection - City-Owned,550,Spadina Avenue and Sullivan Street,"Hlynsky, David / Yanover, Shirley",In Asia:The East: Spring / Europe:The West: Autumn,coloured fiberglass,Sculpture,Existing,asiaeurope.jpg,https://www.toronto.ca/ext/pln/publicart/asiaeurope.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/asiaeurope.jpg,None,10,Spadina-Fort York,1997,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.397326, 43.650862]]}"
44,Public Art & Monuments Collection - City-Owned,530,Queen Street West and Cowan Avenue,"Dykhuis, Peter",Index/Ideal,bronze,Frieze,Existing,indexideal.jpg,https://www.toronto.ca/ext/pln/publicart/indexideal.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/indexideal.jpg,None,4,Parkdale-High Park,1989,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.433132, 43.640481]]}"
45,Public Art & Monuments Collection - City-Owned,583,"Front Street West, Simcoe  Park","Scott, John /  Lo, Derek  /  Winkler, Lana",Injured Workers Monument,"granite, bronze",Sculpture,Existing,injuredworkers1.jpg,https://www.toronto.ca/ext/pln/publicart/injuredworkers1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/injuredworkers1.jpg,None,10,Spadina-Fort York,2001,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.385865, 43.644991]]}"
46,Public Art & Monuments Collection - City-Owned,569,"Lake Shore Boulevard West and Ontario Place Boulevard, Battery Park","Qimirpik, Kellypalik",Inukshuk Sculpture,granite,Sculpture,Existing,inukshuk1.jpg,https://www.toronto.ca/ext/pln/publicart/inukshuk1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/inukshuk1.jpg,None,10,Spadina-Fort York,2002,"The Inukshuk was chosen by City Council as the City of Toronto's legacy project to commemorate World Youth Day 2002 and the visit of Pope John Paul II to Toronto. An Inuit stone structure primarily found in the arctic landscape, the Inukshuk acts as a powerful symbol of safe harbour, guiding travellers on land and sea.  The Toronto Inukshuk is located at Battery Park and is one of the largest of its kind in North America. The structure, made of approximately 50 tonnes of mountain rose granite, stands 30 feet high with an arm span of 15 feet.",None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.409279, 43.632297]]}"
47,Public Art & Monuments Collection - City-Owned,567,Harbourfront Square Park East,"Pelletier, David",Jack's Got Your Back: Layton Memorial,"bronze, masonry",Sculpture,Existing,jacklayton.jpg,https://www.toronto.ca/ext/pln/publicart/jacklayton.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/jacklayton.jpg,None,10,Spadina-Fort York,2013,"This memorial to Jack Layton, who was an avid cyclist, depicts him riding on the back seat of a tandem bicycle. The front seat welcomes visitors to sit and have their photo taken ""with Jack at their back.""",None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37665, 43.64019]]}"
48,Public Art & Monuments Collection - City-Owned,522,College Street and Grace Street,"Dam de Nogales, Edwin / Veronica",Johnny Lombardi,"bronze, concrete",Sculpture,Existing,lombardi1.jpg,https://www.toronto.ca/ext/pln/publicart/lombardi1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/lombardi1.jpg,None,11,University-Rosedale,2004,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.415601, 43.654947]]}"
49,Public Art & Monuments Collection - City-Owned,510,"4169 Bathurst Street, Earl Bales Park","Caede, F.B.",Jose Rizal Memorial,"bronze, masonry",Sculpture,Existing,joserizal.jpg,https://www.toronto.ca/ext/pln/publicart/joserizal.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/joserizal.jpg,None,6,York Centre,1998,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.431803, 43.752614]]}"
50,Public Art & Monuments Collection - City-Owned,646,Beaty Boulevard Park,"Janowski, Tadeusz",Katyn Memorial,"bronze, masonry",Sculpture,Existing,katynmemorial.jpg,https://www.toronto.ca/ext/pln/publicart/katynmemorial.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/katynmemorial.jpg,None,4,Parkdale-High Park,1980,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.446086, 43.638392]]}"
51,Public Art & Monuments Collection - City-Owned,594,Sheppard Avenue and Leslie Street,"Wrigley, Bill",Kids Play,paint on concrete,Painting,Existing,kidsplay.jpg,https://www.toronto.ca/ext/pln/publicart/kidsplay.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/kidsplay.jpg,None,17,Don Valley North,2006,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.364238, 43.771711]]}"
52,Public Art & Monuments Collection - City-Owned,533,2700 Eglinton Avenue West,"Esposito, Elisa",La Tenrezza Of Mother and Child,masonry,Unknown,Existing,latenrezza.jpg,https://www.toronto.ca/ext/pln/publicart/latenrezza.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/latenrezza.jpg,None,5,York South-Weston,1993,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.478496, 43.689889]]}"
53,Public Art & Monuments Collection - City-Owned,587,Long Branch TTC loop,"Stanley, Stephen",Lakeshore Transportation History,painting,Painting,Existing,lakeshoremural.jpg,https://www.toronto.ca/ext/pln/publicart/lakeshoremural.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/lakeshoremural.jpg,None,3,Etobicoke-Lakeshore,1996,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54406, 43.59202]]}"
54,Public Art & Monuments Collection - City-Owned,640,Bay Street and Hagerman St,"Markson, Jerome",Larry Sefton Memorial,"Corten, masonry",Sculpture,Existing,larrysefton.jpg,https://www.toronto.ca/ext/pln/publicart/larrysefton.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/larrysefton.jpg,None,10,Spadina-Fort York,1977,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.383406, 43.654406]]}"
55,Public Art & Monuments Collection - City-Owned,562,370 Queens Quay West,"Miller, Bernie",Learn to Throw Your Voice,"steel, concrete",Installation,Existing,learn_to_throw_your_voice.jpg,https://www.toronto.ca/ext/pln/publicart/learn_to_throw_your_voice.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/learn_to_throw_your_voice.jpg,None,10,Spadina-Fort York,1986,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.389859, 43.638656]]}"
56,Public Art & Monuments Collection - City-Owned,698,High Park,"Chereshniovsky, Mykhailo",Lesya Urainka Monument,"bronze, masonry",Sculpture,Existing,lesyaukrainka.jpg,https://www.toronto.ca/ext/pln/publicart/lesyaukrainka.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/lesyaukrainka.jpg,None,4,Parkdale-High Park,1975,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.464237, 43.646723]]}"
57,Public Art & Monuments Collection - City-Owned,547,54 Montgomery Road,"Hilton Moore, Marlene",The Line of Time,bronze,Sculpture,Existing,lineoftime.jpg,https://www.toronto.ca/ext/pln/publicart/lineoftime.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/lineoftime.jpg,None,3,Etobicoke-Lakeshore,1997,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.519389, 43.648586]]}"
